Date,Site Name,Status,Overpassing Time (Local),Overpassing Time (UTC),Overpassing Satellite,Detected Emission Rate in kg/hr,Detected Emission Rate Low in kg/hr,Detected Emission Rate High in kg/hr,Latitude (source location),Longitude (source location),Cloud Cover in %,Wind Speed in m/s,Wind Direction in °
2024-10-28,ACKERLY BOND 23A BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,100.0,,
2024-10-28,ACKERLY BROWN -9- BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,100.0,,
2024-10-28,ACKERLY DAVENPORT -16A- BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,79.0,,
2024-10-28,ACKERLY HALE -29- BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,79.0,,
2024-10-28,ACKERLY LANGHAM -24- BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,100.0,,
2024-10-28,ACKERLY PAD 2,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,100.0,,
2024-10-28,ACKERLY STOKES -21- BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,79.0,,
2024-10-28,ACKERLY WIGGINS -30- BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,79.0,,
2024-10-28,ADAMS -37A- BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,79.0,,
2024-10-28,ADAMS 38 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,79.0,,
2024-10-28,ADAMS 43A BATTERY,OVERPASS - NO DETECTION,12:34:51,17:34:51,S2,,,,,,16.0,,
2024-10-28,ADAMS 47 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,79.0,,
2024-10-28,ADAMS NS 43-6 01 BATTERY,OVERPASS - NO DETECTION,12:34:51,17:34:51,S2,,,,,,16.0,,
2024-10-28,ADAMS UNIT BATTERY,OVERPASS - NO DETECTION,12:34:51,17:34:51,S2,,,,,,16.0,,
2024-10-28,AGGIE BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,AIRSTRIP BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,94.0,,
2024-10-28,ALAMEDA BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,ALAMEDA STATE UNIT 54-8-1 601H (1WP),NO OVERPASS,,,,,,,,,,,
2024-10-28,ALAMEDA STATE UNIT 54-8-1 602H (1WP),NO OVERPASS,,,,,,,,,,,
2024-10-28,ALAMEDA STATE UNIT 54-8-1 603H (1WP),NO OVERPASS,,,,,,,,,,,
2024-10-28,ALAMEDA STATE UNIT 54-8-1 604H (1WP),NO OVERPASS,,,,,,,,,,,
2024-10-28,ALAMEDA STATE UNIT 54-8-1 605H (1WP),NO OVERPASS,,,,,,,,,,,
2024-10-28,ALAMEDA STATE UNIT 54-8-1 606H (1WP),NO OVERPASS,,,,,,,,,,,
2024-10-28,ALEXANDER 4-45 1H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,ALEXANDER 4-45 2H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,ALLAR 15 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,23.0,,
2024-10-28,ALLAR 25-1 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,23.0,,
2024-10-28,ALLAR 25-2 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,23.0,,
2024-10-28,ALLAR 37A BATTERY,OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,13.0,,
2024-10-28,ALTAI H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,ALTURA BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,AMANDA BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,AMBUSH 45 BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,AMOCO HOLT HZ BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,39.0,,
2024-10-28,ANDERSON 11 BATTERY,OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,2.0,,
2024-10-28,ANDERSON BATTERY,OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,2.0,,
2024-10-28,ANDY BATTERY,OVERPASS - NO DETECTION,12:35:07,17:35:07,S2,,,,,,12.0,,
2024-10-28,ANN COLE TRUST CTB,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,94.0,,
2024-10-28,ARMORY BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,ARMSTRONG H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,ARMSTRONG STATE 4 1H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,ARNOLD BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,100.0,,
2024-10-28,ARROW 22-27 5&6 (6WP),OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,AVERITT 1 BATTERY,OVERPASS - NO DETECTION,12:35:07,17:35:07,S2,,,,,,12.0,,
2024-10-28,AVERITT BATTERY,OVERPASS - NO DETECTION,12:35:07,17:35:07,S2,,,,,,12.0,,
2024-10-28,AYERS BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,AYERS UNIT 24-1H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,AZTECA/OBERLANDER (2 WELL PAD),NO OVERPASS,,,,,,,,,,,
